SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
50009.*A,AIRPORT,ADK,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ADAK ISLAND,ADAK,PU,PU,186760.8883,51.87802453,635925.3093,-176.6459193,19,W ALEUTIAN ISLS,4/1/1949,N,N,N,Y
50016.1*A,AIRPORT,AKK,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AKHIOK,AKHIOK,PU,PU,204979.287,56.93869083,555057.2,-154.1825556,44,KODIAK,11/1/1979,N,N,,Y
50017.*A,AIRPORT,Z13,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,219289.715,60.91380972,581375.985,-161.4933292,23,MC GRATH,1/1/1968,N,N,N,Y
50017.1*C,SEAPLANE BASE,KKI,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,219268.313,60.90786472,581166.278,-161.4350772,18,MC GRATH,7/1/1966,N,N,N,N
50020.*A,AIRPORT,AKI,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIAK,AKIAK,PU,PU,219250.43,60.90289722,580430.1,-161.2305833,39,MC GRATH,7/1/1966,N,N,N,Y
50022.*C,SEAPLANE BASE,KQA,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,194882.04,54.1339,596802.18,-165.7783833,0,DUTCH HARBOR,,N,N,N,N
50022.1*A,AIRPORT,7AK,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,194920.6,54.14461111,596174.79,-165.6041083,129,DUTCH HARBOR,7/1/2012,,,,
50024.1*A,AIRPORT,AUK,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,ALAKANUK,ALAKANUK,PU,PU,225659,62.68305556,592999.9,-164.7221944,21,BETHEL,,N,N,N,Y
50027.52*C,SEAPLANE BASE,Z33,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK,PR,PU,213386.321,59.27397806,571044.921,-158.6235892,7,KODIAK,1/1/1966,N,N,N,N
50027.53*A,AIRPORT,5A8,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK /NEW,PU,PU,213417.2,59.28255556,571024.32,-158.6178667,63,KODIAK,12/1/1982,,,,Y
50027.6*A,AIRPORT,4AK7,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK MISSION STRIP,PR,PR,213411.324,59.28092333,570949.921,-158.5972003,150,KODIAK,,N,N,N,N
50027.51*A,AIRPORT,Z25,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,TRIPOD,PU,PU,213347.325,59.26314583,570807.919,-158.5577553,225,KODIAK,1/1/1966,N,N,N,N
50029.1*A,AIRPORT,6A8,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ALLAKAKET,ALLAKAKET,PU,PU,239586.6,66.55183333,549439.8,-152.6221667,441,FAIRBANKS,10/1/1999,,,,
50029.61*A,AIRPORT,AFM,AAL,NONE,AK,ALASKA,NORTHWEST ARCTIC,AK,AMBLER,AMBLER,PU,PU,241583.1,67.10641667,568287,-157.8575,292,FAIRBANKS,,N,N,,Y
50031.*A,AIRPORT,80A,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,AMERICAN CREEK,AMERICAN CREEK,PU,PU,234374.335,65.10398194,544238.04,-151.1772333,513,FAIRBANKS,8/1/1958,N,N,N,N
50031.5*C,SEAPLANE BASE,AK81,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AMOOK BAY,AMOOK BAY,PR,PR,206897.377,57.47149361,553735.298,-153.8153606,0,KODIAK,6/1/1963,N,N,N,N
50032.*A,AIRPORT,AKP,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ANAKTUVUK PASS,ANAKTUVUK PASS,PU,PU,245281,68.13361111,546276,-151.7433333,2106,POINT BARROW,8/1/1963,N,N,N,Y
50037.3*A,AIRPORT,AK00,AAL,NONE,AK,ALASKA,KENAI PENINSULA,AK,ANCHOR POINT,ANCHOR RIVER AIRPARK,PR,PR,215268,59.79666667,546708,-151.8633333,120,KODIAK,2/1/2000,,,,
50037.31*A,AIRPORT,00AK,AAL,NONE,AK,ALASKA,SEWARD,AK,ANCHOR POINT,LOWELL FIELD,PR,PR,215816,59.94888889,546092,-151.6922222,252,SEWARD,5/1/2006,,,,
50033.1*H,HELIPORT,2OK,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ALASKA RGNL HOSPITAL,PU,PU,220365.73,61.21270278,539375.7,-149.8265833,137,ANCHORAGE,3/1/1993,,,,
50033.5*A,AIRPORT,A13,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,BOLD,PU,PU,220828.82,61.34133889,536395.97,-148.9988806,900,ANCHORAGE,8/1/1990,,,,
